Pitcher,PitcherId,Batter,BatterId,TaggedPitchType,RelSpeed,VertApprAngle,HorzApprAngle,ExitSpeed,Distance
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,91.45616,-5.650859,0.093608,83.15586,275.50736
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,91.28831,-5.834084,0.399955,84.5874,284.3925
,,,,,,,,,
"Quigley, Stephen",1000132354,"Sailors, Nolan",1000121572,Fastball,91.12826,-5.913288,0.697404,87.52313,236.13206
,,,,,,,,,
"Quigley, Stephen",1000132354,"Sailors, Nolan",1000121572,Fastball,91.30905,-4.70936,0.004923,56.43441,14.13767
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,82.22478,-8.550571,-4.683619,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,80.03418,-7.357867,-2.46512,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,81.8374,-7.280903,-1.838352,80.30389,289.59143
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Fastball,92.34763,-4.850092,1.023061,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Fastball,91.99809,-5.656215,-0.836396,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Fastball,92.79371,-4.86224,-1.479325,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Slider,80.66378,-7.578168,-0.669563,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Fastball,91.57461,-4.743606,0.302128,101.74784,383.50426
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Fastball,92.53355,-5.324167,1.362363,61.45118,149.92091
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Slider,80.06811,-6.271727,-1.56842,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Slider,80.84532,-8.218692,-2.763731,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Slider,80.33121,-7.871622,-1.746624,79.31756,5.88774
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Freeberger, Dominic",1000058975,Fastball,88.71588,-5.52272,0.24256,87.42251,202.27239
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,88.74589,-5.544048,2.082216,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,89.14753,-6.463955,1.487657,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,ChangeUp,80.93205,-6.755117,0.755054,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,89.84627,-5.281892,1.538706,78.05782,4.93038
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Curveball,73.48602,-10.885252,-0.600571,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.19213,-6.900783,2.067287,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,ChangeUp,80.78152,-7.399729,2.223807,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.38169,-4.685227,-1.348883,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.58297,-4.925609,-0.562327,54.09054,57.24178
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.5151,-6.559014,0.346638,101.1533,188.07613
,,,,,,,,,
